,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year
196,Cars 3,BV,"$53,688,680 ",6/16/17,Brian Fee,"$175,000,000 ",tt3606752,6,2017
197,Green Lantern,WB,"$53,174,303 ",6/17/11,Martin Campbell,"$200,000,000 ",tt1133985,6,2011
198,The Wolverine,Fox,"$53,113,752 ",7/26/13,James Mangold,"$120,000,000 ",tt1430132,7,2013
199,The LEGO Batman Movie,WB,"$53,003,468 ",2/10/17,Chris McKay,"$80,000,000 ",tt4116284,2,2017
201,Paranormal Activity 3,Par.,"$52,568,183 ",10/21/11,"Henry Joost, Ariel Schulman","$5,000,000 ",tt1778304,10,2011
202,Superman Returns,WB,"$52,535,096 ",6/28/06,Bryan Singer,"$209,000,000 ",tt0348150,6,2006
203,The Bourne Supremacy,Uni.,"$52,521,865 ",7/23/04,Paul Greengrass,"$75,000,000 ",tt0372183,7,2004
204,The Divergent Series: Insurgent,LG/S,"$52,263,680 ",3/20/15,,,,3,2015
205,"I, Robot",Fox,"$52,179,887 ",7/16/04,Alex Proyas," $52,179,887,",tt0343818,7,2004
206,Men in Black II,Sony,"$52,148,751 ",7/3/02,Barry Sonnenfeld,"$140,000,000 ",tt0120912,7,2002
207,Home (2015),Fox,"$52,107,731 ",3/27/15,,,,3,2015
208,Van Helsing,Uni.,"$51,748,040 ",5/7/04,Stephen Sommers,"$160,000,000 ",tt0338526,5,2004
209,8 Mile,Uni.,"$51,240,555 ",11/8/02,Curtis Hanson,"$41,000,000 ",tt0298203,11,2002
211,Prometheus,Fox,"$51,050,101 ",6/8/12,Ridley Scott,"$130,000,000 ",tt1446714,6,2012
212,Wanted,Uni.,"$50,927,085 ",6/27/08,Timur Bekmambetov,"$75,000,000 ",tt0493464,6,2008
213,Coco,BV,"$50,802,605 ",11/22/17,"Lee Unkrich, Adrian Molina(co-director)","$175,000,000 ",tt2380307,11,2017
214,Jurassic Park III,Uni.,"$50,771,645 ",7/18/01,Joe Johnston,"$93,000,000 ",tt0163025,7,2001
215,The Village,BV,"$50,746,142 ",7/30/04,M. Night Shyamalan," $50,746,142,",tt0368447,7,2004
216,Dunkirk,WB,"$50,513,488 ",7/21/17,Christopher Nolan,"$100,000,000 ",tt5013056,7,2017
217,2 Fast 2 Furious,Uni.,"$50,472,480 ",6/6/03,John Singleton,"$76,000,000 ",tt0322259,6,2003
218,Jackass 3-D,Par.,"$50,353,641 ",10/15/10,,,,10,2010
219,Mr. & Mrs. Smith,Fox,"$50,342,878 ",6/10/05,Doug Liman," $50,342,878,",tt0356910,6,2005
221,A Quiet Place,Par.,"$50,203,562 ",4/6/18,John Krasinski,"$17,000,000 ",tt6644200,4,2018
222,The Boss Baby,Fox,"$50,198,902 ",3/31/17,Tom McGrath," $50,198,902,",tt3874544,3,2017
223,King Kong,Uni.,"$50,130,145 ",12/14/05,Peter Jackson,,tt0360717,12,2005
224,The Great Gatsby (2013),WB,"$50,085,185 ",5/10/13,,,,5,2013
