,Rank,Title,Studio,Opening,%_of_total,No_of_Theaters,Date**,Month,Year,ave_opening_by_studio,Studio_value
164,165,Ant-Man,BV,57225526,31.80%,3856,7/17/15,7,2015,104914271.0,4
165,166,22 Jump Street,Sony,57071445,29.80%,3306,6/13/14,6,2014,78030367.0,3
166,167,Sex and the City,WB (NL),57038404,37.40%,3285,5/30/08,5,2008,72039648.0,3
167,168,Moana,BV,56631401,22.80%,3875,11/23/16,11,2016,104914271.0,4
168,169,Despicable Me,Uni.,56397125,22.40%,3476,7/9/10,7,2010,77343886.0,3
169,170,War for the Planet of the Apes,Fox,56262929,38.30%,4022,7/14/17,7,2017,70657547.0,3
170,171,Valentine's Day,WB (NL),56260707,50.90%,3665,2/12/10,2,2010,72039648.0,3
171,172,Snow White and the Huntsman,Uni.,56217700,36.20%,3773,6/1/12,6,2012,77343886.0,3
172,173,Big Hero 6,BV,56215889,25.30%,3761,11/7/14,11,2014,104914271.0,4
173,174,Charlie and the Chocolate Factory,WB,56178450,27.20%,3770,7/15/05,7,2005,86199612.0,3
174,175,Fantastic Four (2005),Fox,56061504,36.20%,3602,7/8/05,7,2005,70657547.0,3
175,176,Gravity,WB,55785112,20.40%,3575,10/4/13,10,2013,86199612.0,3
176,177,The Karate Kid,Sony,55665805,31.50%,3663,6/11/10,6,2010,78030367.0,3
177,178,Mission: Impossible - Rogue Nation,Par.,55520089,28.50%,3956,7/31/15,7,2015,70302989.0,3
178,179,The Incredible Hulk,Uni.,55414050,41.10%,3505,6/13/08,6,2008,77343886.0,3
179,180,The SpongeBob Movie: Sponge Out of Water,Par.,55365012,34.00%,3641,2/6/15,2,2015,70302989.0,3
180,181,Watchmen,WB,55214334,51.40%,3611,3/6/09,3,2009,86199612.0,3
181,182,X-Men: First Class,Fox,55101604,37.60%,3641,6/3/11,6,2011,70657547.0,3
182,183,How the Grinch Stole Christmas,Uni.,55082330,21.20%,3127,11/17/00,11,2000,77343886.0,3
183,184,The Chronicles of Narnia: Prince Caspian,BV,55034805,38.90%,3929,5/16/08,5,2008,104914271.0,4
184,185,Austin Powers: The Spy Who Shagged Me,NL,54917604,26.70%,3312,6/11/99,6,1999,66006851.0,3
185,186,Rise of the Planet of the Apes,Fox,54806191,31.00%,3648,8/5/11,8,2011,70657547.0,3
186,187,The Hobbit: The Battle of the Five Armies,WB (NL),54724334,21.50%,3875,12/17/14,12,2014,72039648.0,3
187,188,G.I. Joe: The Rise of Cobra,Par.,54713046,36.40%,4007,8/7/09,8,2009,70302989.0,3
188,189,Divergent,LG/S,54607747,36.20%,3936,3/21/14,3,2014,82646354.0,3
189,190,MIB 3,Sony,54592779,30.50%,4248,5/25/12,5,2012,78030367.0,3
190,191,San Andreas,WB (NL),54588173,35.20%,3777,5/29/15,5,2015,72039648.0,3
191,192,X-Men,Fox,54471475,34.60%,3025,7/14/00,7,2000,70657547.0,3
192,193,Ted,Uni.,54415205,24.90%,3239,6/29/12,6,2012,77343886.0,3
193,194,The Martian,Fox,54308575,23.80%,3831,10/2/15,10,2015,70657547.0,3
194,195,Night at the Museum: Battle of the Smithsonian,Fox,54173286,30.60%,4096,5/22/09,5,2009,70657547.0,3
195,196,Scooby-Doo,WB,54155312,35.30%,3447,6/14/02,6,2002,86199612.0,3
196,197,Cars 3,BV,53688680,35.10%,4256,6/16/17,6,2017,104914271.0,4
197,198,Green Lantern,WB,53174303,45.60%,3816,6/17/11,6,2011,86199612.0,3
198,199,The Wolverine,Fox,53113752,40.10%,3924,7/26/13,7,2013,70657547.0,3
199,200,The LEGO Batman Movie,WB,53003468,30.20%,4088,2/10/17,2,2017,86199612.0,3
200,201,Batman Forever,WB,52784433,28.70%,2842,6/16/95,6,1995,86199612.0,3
201,202,Paranormal Activity 3,Par.,52568183,50.50%,3321,10/21/11,10,2011,70302989.0,3
202,203,Superman Returns,WB,52535096,26.30%,4065,6/28/06,6,2006,86199612.0,3
203,204,The Bourne Supremacy,Uni.,52521865,29.80%,3165,7/23/04,7,2004,77343886.0,3
204,205,The Divergent Series: Insurgent,LG/S,52263680,40.10%,3875,3/20/15,3,2015,82646354.0,3
205,206,"I, Robot",Fox,52179887,36.00%,3420,7/16/04,7,2004,70657547.0,3
206,207,Men in Black II,Sony,52148751,27.40%,3557,7/3/02,7,2002,78030367.0,3
207,208,Home (2015),Fox,52107731,29.40%,3708,3/27/15,3,2015,70657547.0,3
208,209,Van Helsing,Uni.,51748040,43.10%,3575,5/7/04,5,2004,77343886.0,3
209,210,8 Mile,Uni.,51240555,43.90%,2470,11/8/02,11,2002,77343886.0,3
