,Unnamed: 0,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,ticket_price
194,202,Superman Returns,WB,52535096.0,6/28/06,Bryan Singer,209000000.0,tt0348150,Jun,2006,$6.55 
195,203,The Bourne Supremacy,Uni.,52521865.0,7/23/04,Paul Greengrass,75000000.0,tt0372183,July,2004,$6.21 
196,204,The Divergent Series: Insurgent,LG/S,52263680.0,3/20/15,,,,Mar,2015,$8.43 
197,205,"I, Robot",Fox,52179887.0,7/16/04,Alex Proyas,52179887.0,tt0343818,July,2004,$6.21 
198,206,Men in Black II,Sony,52148751.0,7/3/02,Barry Sonnenfeld,140000000.0,tt0120912,July,2002,$5.80 
199,207,Home (2015),Fox,52107731.0,3/27/15,,,,Mar,2015,$8.43 
200,208,Van Helsing,Uni.,51748040.0,5/7/04,Stephen Sommers,160000000.0,tt0338526,May,2004,$6.21 
201,209,8 Mile,Uni.,51240555.0,11/8/02,Curtis Hanson,41000000.0,tt0298203,Nov,2002,$5.80 
202,211,Prometheus,Fox,51050101.0,6/8/12,Ridley Scott,130000000.0,tt1446714,Jun,2012,$7.96 
203,212,Wanted,Uni.,50927085.0,6/27/08,Timur Bekmambetov,75000000.0,tt0493464,Jun,2008,$7.18 
204,213,Coco,BV,50802605.0,11/22/17,"Lee Unkrich, Adrian Molina(co-director)",175000000.0,tt2380307,Nov,2017,$8.97 
205,214,Jurassic Park III,Uni.,50771645.0,7/18/01,Joe Johnston,93000000.0,tt0163025,July,2001,$5.65 
206,215,The Village,BV,50746142.0,7/30/04,M. Night Shyamalan,50746142.0,tt0368447,July,2004,$6.21 
207,216,Dunkirk,WB,50513488.0,7/21/17,Christopher Nolan,100000000.0,tt5013056,July,2017,$8.97 
208,217,2 Fast 2 Furious,Uni.,50472480.0,6/6/03,John Singleton,76000000.0,tt0322259,Jun,2003,$6.03 
209,218,Jackass 3-D,Par.,50353641.0,10/15/10,,,,Oct,2010,$7.89 
210,219,Mr. & Mrs. Smith,Fox,50342878.0,6/10/05,Doug Liman,50342878.0,tt0356910,Jun,2005,$6.41 
211,221,A Quiet Place,Par.,50203562.0,4/6/18,John Krasinski,17000000.0,tt6644200,Apr,2018,
212,222,The Boss Baby,Fox,50198902.0,3/31/17,Tom McGrath,50198902.0,tt3874544,Mar,2017,$8.97 
213,223,King Kong,Uni.,50130145.0,12/14/05,Peter Jackson,,tt0360717,Dec,2005,$6.41 
214,224,The Great Gatsby (2013),WB,50085185.0,5/10/13,,,,May,2013,$8.13 
