,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,Actor,Genre,Writer
93,Grown Ups,Sony,"$40,506,562",6/25/2010,,,,3,2013,,,
100,Power Rangers (2017),LGF,"$40,300,288",3/24/2017,,,,3,2016,,,
101,Insidious Chapter 2,FD,"$40,272,103",9/13/2013,,,,11,2016,,,
103,Safe House,Uni.,"$40,172,720",2/10/2012,,,,12,2013,,,
106,Cloverfield,Par.,"$40,058,229",1/18/2008,,,,7,2014,,,
107,Chicken Little,BV,"$40,049,778",11/4/2005,,,,6,2017,,,
6,50 First Dates,Sony,"$39,852,237",2/13/2004,"Anthony Russo, Joe Russo",,tt4154756,4,2018,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Fantasy","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (Captain America created by), Jack Kirby (Captain America created by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Jim Starlin (Thanos,  Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Steve Englehart (Mantis created by), Don Heck (Mantis created by)"
7,The Revenant,Fox,"$39,826,840",1/8/2016,J.J. Abrams,,tt2488496,12,2015,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver","Action, Adventure, Fantasy","Lawrence Kasdan, J.J. Abrams, Michael Arndt, George Lucas (based on characters created by)"
8,Wild Hogs,BV,"$39,699,023",3/2/2007,Rian Johnson,,tt2527336,12,2017,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley","Action, Adventure, Fantasy","Rian Johnson, George Lucas (based on characters created by)"
9,Sherlock Holmes: A Game of Shadows,WB,"$39,637,079",12/16/2011,Colin Trevorrow,,tt0369610,6,2015,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio","Action, Adventure, Sci-Fi","Rick Jaffa (screenplay by), Amanda Silver (screenplay by), Colin Trevorrow (screenplay by), Derek Connolly (screenplay by), Rick Jaffa (story by), Amanda Silver (story by), Michael Crichton (based on the characters created by)"
