,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,Actor,Genre,Writer
63,Resident Evil: Extinction,SGem,"$23,678,580",9/21/2007,,,,5,2013,,,
64,Tomb Raider,WB,"$23,633,317",3/16/2018,,,,4,2014,,,
65,Open Season,Sony,"$23,624,548",9/29/2006,,,,8,2014,,,
66,Goosebumps,Sony,"$23,618,556",10/16/2015,,,,11,2017,,,
68,Dinner for Schmucks,P/DW,"$23,527,839",7/30/2010,,,,5,2014,,,
70,The Amityville Horror (2005),MGM,"$23,507,007",4/15/2005,,,,5,2014,,,
71,Be Cool,MGM,"$23,450,212",3/4/2005,,,,5,2014,,,
72,Tyler Perry's I Can Do Bad All By Myself,LGF,"$23,446,785",9/11/2009,,,,6,2015,,,
74,Once Upon a Time in Mexico,Sony,"$23,424,118",9/12/2003,,,,5,2011,,,
75,Face/Off,Par.,"$23,387,530",6/27/1997,,,,1,2015,,,
76,The Taking of Pelham 1 2 3,Sony,"$23,373,102",6/12/2009,,,,3,2017,,,
77,The Polar Express,WB,"$23,323,463",11/10/2004,,,,11,2012,,,
80,Alvin and the Chipmunks: Chipwrecked,Fox,"$23,244,744",12/16/2011,,,,4,2011,,,
81,Eragon,Fox,"$23,239,907",12/15/2006,,,,5,2011,,,
82,Michael Jackson's This Is It,Sony,"$23,234,394",10/28/2009,,,,11,2013,,,
84,Double Jeopardy,Par.,"$23,162,542",9/24/1999,,,,2,2015,,,
85,The Mask,NL,"$23,117,068",7/29/1994,,,,11,2016,,,
87,Monster-in-Law,NL,"$23,105,133",5/13/2005,,,,12,2012,,,
88,Eat Pray Love,Sony,"$23,104,523",8/13/2010,,,,5,2018,,,
90,Resident Evil: Apocalypse,SGem,"$23,036,273",9/10/2004,,,,7,2013,,,
91,Return of the Jedi,Fox,"$23,019,618",5/25/1983,,,,6,2013,,,
93,The Haunting in Connecticut,LGF,"$23,004,765",3/27/2009,,,,3,2013,,,
100,The Interpreter,Uni.,"$22,822,455",4/22/2005,,,,3,2016,,,
101,Hidden Figures,Fox,"$22,800,057",1/6/2017,,,,11,2016,,,
103,Man on Fire,Fox,"$22,751,490",4/23/2004,,,,12,2013,,,
106,Insidious Chapter 3,Focus,"$22,692,741",6/5/2015,,,,7,2014,,,
107,Unstoppable,Fox,"$22,688,457",11/12/2010,,,,6,2017,,,
111,The Time Machine,DW,"$22,610,437",3/8/2002,,,,5,2010,,,
114,Dick Tracy,BV,"$22,543,911",6/15/1990,,,,11,2015,,,
116,The Mask of Zorro,Sony,"$22,525,855",7/17/1998,,,,3,2012,,,
117,Heaven is for Real,TriS,"$22,522,221",4/16/2014,,,,5,2013,,,
119,Shallow Hal,Fox,"$22,518,295",11/9/2001,,,,5,2014,,,
121,Life of Pi,Fox,"$22,451,514",11/21/2012,,,,5,2015,,,
122,The Social Network,Sony,"$22,445,653",10/1/2010,,,,2,2014,,,
129,Disturbia,P/DW,"$22,224,982",4/13/2007,,,,3,2015,,,
132,Freaky Friday,BV,"$22,203,007",8/6/2003,,,,11,2013,,,
133,Die Hard: With A Vengeance,Fox,"$22,162,245",5/19/1995,,,,6,2013,,,
134,Poseidon,WB,"$22,155,410",5/12/2006,,,,6,2012,,,
135,Diary of a Wimpy Kid,Fox,"$22,126,166",3/19/2010,,,,6,2011,,,
136,Ghost Rider: Spirit of Vengeance,Sony,"$22,115,334",2/17/2012,,,,5,2016,,,
137,It's Complicated,Uni.,"$22,100,820",12/25/2009,,,,5,2011,,,
138,Kill Bill Vol. 1,Mira.,"$22,089,322",10/10/2003,,,,8,2014,,,
141,Starship Troopers,Sony,"$22,058,773",11/7/1997,,,,7,2011,,,
143,Chronicle (2012),Fox,"$22,004,098",2/3/2012,,,,6,2010,,,
147,Tyler Perry's Diary of a Mad Black Woman,Lions,"$21,905,089",2/25/2005,,,,5,2017,,,
148,Inspector Gadget,BV,"$21,889,138",7/23/1999,,,,7,2010,,,
154,Neighbors 2: Sorority Rising,Uni.,"$21,760,405",5/20/2016,,,,7,2012,,,
155,Underworld,SGem,"$21,753,759",9/19/2003,,,,4,2010,,,
156,Die Hard 2: Die Harder,Fox,"$21,744,661",7/6/1990,,,,3,2017,,,
157,Texas Chainsaw 3D,LGF,"$21,744,470",1/4/2013,,,,6,2012,,,
159,Shaft,Par.,"$21,714,757",6/16/2000,,,,8,2015,,,
163,Lights Out,WB (NL),"$21,688,103",7/22/2016,,,,7,2016,,,
164,RoboCop (2014),Sony,"$21,681,430",2/12/2014,,,,7,2016,,,
170,Fool's Gold,WB,"$21,589,295",2/8/2008,,,,7,2015,,,
171,Tammy,WB (NL),"$21,577,049",7/2/2014,,,,6,2014,,,
173,"You, Me and Dupree",Uni.,"$21,525,560",7/14/2006,,,,11,2016,,,
174,Pete's Dragon (2016),BV,"$21,514,095",8/12/2016,,,,7,2010,,,
175,American Reunion,Uni.,"$21,514,080",4/6/2012,,,,7,2017,,,
176,Hercules,BV,"$21,454,451",6/27/1997,,,,2,2010,,,
177,The 40-Year-Old Virgin,Uni.,"$21,422,815",8/19/2005,,,,6,2012,,,
178,The Stepford Wives,Par.,"$21,406,781",6/11/2004,,,,11,2014,,,
181,The Hitman's Bodyguard,LG/S,"$21,384,504",8/18/2017,,,,10,2013,,,
182,Ice Age: Collision Course,Fox,"$21,373,064",7/22/2016,,,,6,2010,,,
183,Tyler Perry's Why Did I Get Married?,LGF,"$21,353,789",10/12/2007,,,,7,2015,,,
185,Storks,WB,"$21,311,407",9/23/2016,,,,2,2015,,,
187,Happy Feet Two,WB,"$21,237,068",11/18/2011,,,,6,2011,,,
191,Waterworld,Uni.,"$21,171,780",7/28/1995,,,,8,2011,,,
192,The Adjustment Bureau,Uni.,"$21,157,730",3/4/2011,,,,12,2014,,,
194,Bride Wars,Fox,"$21,058,173",1/9/2009,,,,3,2014,,,
195,13 Going on 30,SonR,"$21,054,283",4/23/2004,,,,5,2012,,,
196,Resident Evil: Retribution,SGem,"$21,052,227",9/14/2012,,,,5,2015,,,
198,Lincoln,BV,"$21,049,406",11/16/2012,,,,6,2012,,,
199,Law Abiding Citizen,Over.,"$21,039,502",10/16/2009,,,,10,2015,,,
202,The Forgotten,SonR,"$21,022,111",9/24/2004,,,,6,2017,,,
203,Journey to the Center of the Earth,WB (NL),"$21,018,141",7/11/2008,,,,6,2011,,,
204,The Strangers,Rog.,"$20,997,985",5/30/2008,,,,7,2013,,,
205,Insomnia,WB,"$20,930,169",5/24/2002,,,,2,2017,,,
207,The Woman in Black,CBS,"$20,874,072",2/3/2012,,,,10,2011,,,
210,The Grudge 2,Sony,"$20,825,300",10/13/2006,,,,3,2015,,,
213,Prom Night (2008),SGem,"$20,804,941",4/11/2008,,,,3,2015,,,
217,Guess Who,Sony,"$20,671,446",3/25/2005,,,,6,2012,,,
219,The Wedding Ringer,SGem,"$20,649,306",1/16/2015,,,,11,2017,,,
222,Contact,WB,"$20,584,908",7/11/1997,,,,7,2017,,,
224,Blockers,Uni.,"$20,556,350",4/6/2018,,,,10,2010,,,
227,Takers,SGem,"$20,512,304",8/27/2010,,,,4,2018,,,
228,Scary Movie 2,Mira.,"$20,503,356",7/4/2001,,,,3,2017,,,
230,Mrs. Doubtfire,Fox,"$20,468,847",11/24/1993,,,,5,2013,,,
6,Rocky IV,UA,"$19,991,537",11/27/1985,"Anthony Russo, Joe Russo",,tt4154756,4,2018,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Fantasy","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (Captain America created by), Jack Kirby (Captain America created by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Jim Starlin (Thanos,  Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Steve Englehart (Mantis created by), Don Heck (Mantis created by)"
7,Pitch Perfect 3,Uni.,"$19,928,525",12/22/2017,J.J. Abrams,,tt2488496,12,2015,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver","Action, Adventure, Fantasy","Lawrence Kasdan, J.J. Abrams, Michael Arndt, George Lucas (based on characters created by)"
8,102 Dalmatians,BV,"$19,883,351",11/22/2000,Rian Johnson,,tt2527336,12,2017,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley","Action, Adventure, Fantasy","Rian Johnson, George Lucas (based on characters created by)"
9,Ouija,Uni.,"$19,875,995",10/24/2014,Colin Trevorrow,,tt0369610,6,2015,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio","Action, Adventure, Sci-Fi","Rick Jaffa (screenplay by), Amanda Silver (screenplay by), Colin Trevorrow (screenplay by), Derek Connolly (screenplay by), Rick Jaffa (story by), Amanda Silver (story by), Michael Crichton (based on the characters created by)"
10,Kick-Ass,LGF,"$19,828,687",4/16/2010,,,,5,2012,,,
11,The Unborn (2009),Uni.,"$19,810,585",1/9/2009,Ryan Coogler,,tt1825683,2,2018,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","Action, Adventure, Sci-Fi","Ryan Coogler, Joe Robert Cole, Stan Lee (based on the Marvel Comics by), Jack Kirby (based on the Marvel Comics by)"
12,The Cable Guy,Sony,"$19,806,226",6/14/1996,Joss Whedon,,tt2395427,5,2015,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Sci-Fi","Joss Whedon, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (character created by: Captain America), Jack Kirby (character created by: Captain America), Jim Starlin (character created by: Thanos)"
13,Spawn,NL,"$19,738,749",8/1/1997,Brad Bird,,tt3606756,6,2018,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner","Animation, Action, Adventure",Brad Bird
14,Hansel and Gretel: Witch Hunters,Par.,"$19,690,956",1/25/2013,"Anthony Russo, Joe Russo",,tt3498820,5,2016,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","Action, Adventure, Sci-Fi","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)"
15,White Chicks,Sony,"$19,676,748",6/23/2004,,,,3,2017,,,
16,The Grey,ORF,"$19,665,101",1/27/2012,Shane Black,,tt1300854,5,2013,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce","Action, Adventure, Sci-Fi","Drew Pearce (screenplay by), Shane Black (screenplay by), Stan Lee (based on the Marvel comic book by), Don Heck (based on the Marvel comic book by), Larry Lieber (based on the Marvel comic book by), Jack Kirby (based on the Marvel comic book by), Warren Ellis (based on the ""Extremis"" mini-series written by), Adi Granov (based on the ""Extremis"" mini-series illustrated by)"
17,The Benchwarmers,SonR,"$19,656,429",4/7/2006,David Yates,,tt1201607,7,2011,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe","Adventure, Drama, Fantasy","Steve Kloves (screenplay), J.K. Rowling (novel)"
18,No Strings Attached,Par.,"$19,652,921",1/21/2011,Zack Snyder,,tt2975590,3,2016,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg","Action, Adventure, Fantasy","Chris Terrio, David S. Goyer, Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), William Moulton Marston (character created by: Wonder Woman)"
19,Kingdom of Heaven,Fox,"$19,635,996",5/6/2005,Christopher Nolan,,tt1345836,7,2012,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","Action, Thriller","Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)"
21,Paranormal Activity,Par.,"$19,617,650",10/16/2009,Francis Lawrence,,tt1951264,11,2013,"Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair","Action, Adventure, Mystery","Simon Beaufoy (screenplay), Michael Arndt (screenplay), Suzanne Collins (novel)"
22,The Animal,SonR,"$19,610,520",6/1/2001,Gareth Edwards,,tt3748528,12,2016,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","Action, Adventure, Sci-Fi","Chris Weitz (screenplay by), Tony Gilroy (screenplay by), John Knoll (story by), Gary Whitta (story by), George Lucas (based on characters created by)"
23,Year One,Sony,"$19,610,304",6/19/2009,Gary Ross,,tt1392170,3,2012,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields","Adventure, Sci-Fi, Thriller","Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay), Suzanne Collins (novel)"
25,Pokemon: The Movie 2000,WB,"$19,575,608",7/21/2000,J.A. Bayona,,tt4881806,6,2018,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith","Action, Adventure, Sci-Fi","Derek Connolly, Colin Trevorrow, Michael Crichton (based on characters created by)"
26,Hostel,Lions,"$19,556,099",1/6/2006,James Wan,,tt2820852,4,2015,"Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez","Action, Crime, Thriller","Chris Morgan, Gary Scott Thompson (characters)"
27,U-571,Uni.,"$19,553,310",4/21/2000,James Gunn,,tt3896198,5,2017,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","Action, Adventure, Sci-Fi","James Gunn, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Jim Starlin (Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Steve Gerber (Howard the Duck created by), Val Mayerik (Howard the Duck created by)"
29,The Santa Clause 3: The Escape Clause,BV,"$19,504,038",11/3/2006,Bill Condon,,tt1673434,11,2012,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli","Adventure, Drama, Fantasy","Melissa Rosenberg (screenplay), Stephenie Meyer (novel)"
30,Moneyball,Sony,"$19,501,302",9/23/2011,N/A,,tt2395475,11,2011,Juley Ross,Short,N/A
32,Another 48 HRS.,Par.,"$19,475,559",6/8/1990,,,,6,2016,,,
33,Argo,WB,"$19,458,109",10/12/2012,,,,8,2016,,,
34,The Italian Job,Par.,"$19,457,944",5/30/2003,,,,2,2016,,,
35,I Am Number Four,BV,"$19,449,893",2/18/2011,,,,5,2010,,,
36,Alien 3,Fox,"$19,449,867",5/22/1992,,,,5,2018,,,
37,The Huntsman: Winter's War,Uni.,"$19,445,035",4/22/2016,,,,11,2010,,,
38,The Nut Job,ORF,"$19,423,000",1/17/2014,,,,9,2017,,,
39,Brother Bear,BV,"$19,404,492",11/1/2003,,,,11,2017,,,
40,The Bucket List,WB,"$19,392,416",1/11/2008,,,,11,2014,,,
42,The Post,Fox,"$19,361,968",1/12/2018,,,,7,2017,,,
43,The Santa Clause,BV,"$19,321,992",11/11/1994,,,,6,2013,,,
44,Conspiracy Theory,WB,"$19,313,566",8/8/1997,,,,3,2010,,,
45,Aladdin,BV,"$19,289,073",11/25/1992,,,,7,2015,,,
48,Final Destination 3,NL,"$19,173,094",2/10/2006,,,,6,2010,,,
52,Tim Burton's Corpse Bride,WB,"$19,145,480",9/23/2005,,,,7,2016,,,
53,Stepmom,Sony,"$19,142,440",12/25/1998,,,,4,2016,,,
54,Burn After Reading,Focus,"$19,128,001",9/12/2008,,,,6,2017,,,
57,American Hustle,Sony,"$19,106,933",12/20/2013,,,,11,2015,,,
59,Back to the Future Part III,Uni.,"$19,089,645",5/25/1990,,,,6,2014,,,
60,Date Movie,Fox,"$19,076,261",2/17/2006,,,,4,2017,,,
62,The Terminal,DW,"$19,053,199",6/18/2004,,,,6,2011,,,
63,Riddick,Uni.,"$19,030,375",9/6/2013,,,,5,2013,,,
64,Boogeyman,SGem,"$19,020,655",2/4/2005,,,,4,2014,,,
65,The Score,Par.,"$19,018,807",7/13/2001,,,,8,2014,,,
66,Sicario: Day of the Soldado,Sony,"$19,015,000",6/29/2018,,,,11,2017,,,
68,The Spiderwick Chronicles,Par.,"$19,004,058",2/14/2008,,,,5,2014,,,
70,The First Wives Club,Par.,"$18,913,411",9/20/1996,,,,5,2014,,,
71,Step Up 2 the Streets,BV,"$18,908,826",2/14/2008,,,,5,2014,,,
72,Limitless,Rela.,"$18,907,302",3/18/2011,,,,6,2015,,,
74,Land of the Lost,Uni.,"$18,837,350",6/5/2009,,,,5,2011,,,
75,Hidalgo,BV,"$18,829,435",3/5/2004,,,,1,2015,,,
76,Flushed Away,P/DW,"$18,814,323",11/3/2006,,,,3,2017,,,
77,Red Tails,Fox,"$18,782,154",1/20/2012,,,,11,2012,,,
80,World Trade Center,Par.,"$18,730,762",8/9/2006,,,,4,2011,,,
81,Me Before You,WB (NL),"$18,723,269",6/3/2016,,,,5,2011,,,
82,Maid in Manhattan,SonR,"$18,711,407",12/13/2002,,,,11,2013,,,
84,Scream 4,W/Dim.,"$18,692,090",4/15/2011,,,,2,2015,,,
85,Focus (2015),WB,"$18,685,137",2/27/2015,,,,11,2016,,,
87,Truth or Dare,Uni.,"$18,667,855",4/13/2018,,,,12,2012,,,
88,The Time Traveler's Wife,WB (NL),"$18,623,171",8/14/2009,,,,5,2018,,,
90,Jurassic Park 3D,Uni.,"$18,620,145",4/5/2013,,,,7,2013,,,
91,Epic Movie,Fox,"$18,612,544",1/26/2007,,,,6,2013,,,
93,Are We There Yet?,SonR,"$18,575,214",1/21/2005,,,,3,2013,,,
100,Meet the Spartans,Fox,"$18,505,530",1/25/2008,,,,3,2016,,,
101,Baywatch,Par.,"$18,503,871",5/25/2017,,,,11,2016,,,
103,Dante's Peak,Uni.,"$18,479,435",2/7/1997,,,,12,2013,,,
106,You've Got Mail,WB,"$18,426,749",12/18/1998,,,,7,2014,,,
107,Indecent Proposal,Par.,"$18,387,632",4/9/1993,,,,6,2017,,,
111,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,"$18,360,230",10/10/2014,,,,5,2010,,,
114,Stigmata,MGM,"$18,309,666",9/10/1999,,,,11,2015,,,
116,Saw,Lions,"$18,276,468",10/29/2004,,,,3,2012,,,
117,The Birdcage,MGM,"$18,275,828",3/8/1996,,,,5,2013,,,
119,Secret Window,Sony,"$18,237,568",3/12/2004,,,,5,2014,,,
121,Cop Out,WB,"$18,211,126",2/26/2010,,,,5,2015,,,
122,Rambo,LGF,"$18,203,876",1/25/2008,,,,2,2014,,,
129,Bowfinger,Uni.,"$18,062,550",8/13/1999,,,,3,2015,,,
132,Lady in the Water,WB,"$18,044,396",7/21/2006,,,,11,2013,,,
133,Final Destination 5,WB (NL),"$18,031,396",8/12/2011,,,,6,2013,,,
134,The Green Mile,WB,"$18,017,152",12/10/1999,,,,6,2012,,,
135,Romeo Must Die,WB,"$18,014,503",3/22/2000,,,,6,2011,,,
136,Sinister,LG/S,"$18,007,634",10/12/2012,,,,5,2016,,,
137,The Guardian,BV,"$18,006,064",9/29/2006,,,,5,2011,,,
138,Hero,Mira.,"$18,004,319",8/27/2004,,,,8,2014,,,
141,Life of the Party,WB (NL),"$17,886,075",5/11/2018,,,,7,2011,,,
143,My Big Fat Greek Wedding 2,Uni.,"$17,861,950",3/25/2016,,,,6,2010,,,
147,Let's Be Cops,Fox,"$17,813,722",8/13/2014,,,,5,2017,,,
148,"I Love You, Man",P/DW,"$17,810,270",3/20/2009,,,,7,2010,,,
154,Forgetting Sarah Marshall,Uni.,"$17,725,330",4/18/2008,,,,7,2012,,,
155,First Sunday,SGem,"$17,714,821",1/11/2008,,,,4,2010,,,
156,Resident Evil,SGem,"$17,707,106",3/15/2002,,,,3,2017,,,
157,Surf's Up,Sony,"$17,640,249",6/8/2007,,,,6,2012,,,
159,Breaking In (2018),Uni.,"$17,630,285",5/11/2018,,,,8,2015,,,
163,Just Married,Fox,"$17,548,993",1/10/2003,,,,7,2016,,,
164,The Smurfs 2,Sony,"$17,548,389",7/31/2013,,,,7,2016,,,
170,Old School,DW,"$17,453,216",2/21/2003,,,,7,2015,,,
171,Michael,NL,"$17,435,711",12/25/1996,,,,6,2014,,,
173,Baby Mama,Uni.,"$17,407,110",4/25/2008,,,,11,2016,,,
174,This Means War,Fox,"$17,405,930",2/17/2012,,,,7,2010,,,
175,Tyler Perry's The Family That Preys,LGF,"$17,381,218",9/12/2008,,,,7,2017,,,
176,Star Trek V: The Final Frontier,Par.,"$17,375,648",6/9/1989,,,,2,2010,,,
177,Bring It On,Uni.,"$17,362,105",8/25/2000,,,,6,2012,,,
178,Into The Storm,WB (NL),"$17,346,427",8/8/2014,,,,11,2014,,,
181,Coyote Ugly,BV,"$17,319,282",8/4/2000,,,,10,2013,,,
182,Titanic 3D,Par.,"$17,285,453",4/4/2012,,,,6,2010,,,
183,The Boxtrolls,Focus,"$17,275,239",9/26/2014,,,,7,2015,,,
185,Down to Earth,Par.,"$17,268,883",2/16/2001,,,,2,2015,,,
187,Maverick,WB,"$17,248,545",5/20/1994,,,,6,2011,,,
191,The Client,WB,"$17,174,262",7/22/1994,,,,8,2011,,,
192,Tyler Perry's Acrimony,LGF,"$17,170,707",3/30/2018,,,,12,2014,,,
194,The Hunt for Red October,Par.,"$17,161,835",3/2/1990,,,,3,2014,,,
195,The Kingdom,Uni.,"$17,135,055",9/28/2007,,,,5,2012,,,
196,Changing Lanes,Par.,"$17,128,062",4/12/2002,,,,5,2015,,,
198,I Can Only Imagine,RAtt.,"$17,108,914",3/16/2018,,,,6,2012,,,
199,Night at the Museum: Secret of the Tomb,Fox,"$17,100,520",12/19/2014,,,,10,2015,,,
202,Home Alone,Fox,"$17,081,997",11/16/1990,,,,6,2017,,,
203,Blade,NL,"$17,073,856",8/21/1998,,,,6,2011,,,
204,Gangster Squad,WB,"$17,070,347",1/11/2013,,,,7,2013,,,
205,The Butterfly Effect,NL,"$17,065,227",1/23/2004,,,,2,2017,,,
207,The Fifth Element,Sony,"$17,031,345",5/9/1997,,,,10,2011,,,
210,Hotel for Dogs,P/DW,"$17,012,212",1/16/2009,,,,3,2015,,,
213,Game Night,WB (NL),"$17,005,332",2/23/2018,,,,3,2015,,,
217,Old Dogs,BV,"$16,894,511",11/25/2009,,,,6,2012,,,
219,Star Trek IV: The Voyage Home,Par.,"$16,881,888",11/26/1986,,,,11,2017,,,
222,Red Sparrow,Fox,"$16,853,422",3/2/2018,,,,7,2017,,,
224,Water for Elephants,Fox,"$16,842,353",4/22/2011,,,,10,2010,,,
227,A Million Ways to Die in the West,Uni.,"$16,797,385",5/30/2014,,,,4,2018,,,
228,American Made,Uni.,"$16,776,390",9/29/2017,,,,3,2017,,,
230,A Bad Moms Christmas,STX,"$16,759,161",11/1/2017,,,,5,2013,,,
6,Priest,SGem,"$14,953,664",5/13/2011,"Anthony Russo, Joe Russo",,tt4154756,4,2018,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Fantasy","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (Captain America created by), Jack Kirby (Captain America created by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Jim Starlin (Thanos,  Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Steve Englehart (Mantis created by), Don Heck (Mantis created by)"
7,Tag,WB (NL),"$14,947,396",6/15/2018,J.J. Abrams,,tt2488496,12,2015,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver","Action, Adventure, Fantasy","Lawrence Kasdan, J.J. Abrams, Michael Arndt, George Lucas (based on characters created by)"
8,Dangerous Minds,BV,"$14,931,503",8/11/1995,Rian Johnson,,tt2527336,12,2017,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley","Action, Adventure, Fantasy","Rian Johnson, George Lucas (based on characters created by)"
9,The Boy Next Door,Uni.,"$14,910,105",1/23/2015,Colin Trevorrow,,tt0369610,6,2015,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio","Action, Adventure, Sci-Fi","Rick Jaffa (screenplay by), Amanda Silver (screenplay by), Colin Trevorrow (screenplay by), Derek Connolly (screenplay by), Rick Jaffa (story by), Amanda Silver (story by), Michael Crichton (based on the characters created by)"
10,Harold and Kumar Escape from Guantanamo Bay,WB (NL),"$14,908,404",4/25/2008,,,,5,2012,,,
11,Surrogates,BV,"$14,902,692",9/25/2009,Ryan Coogler,,tt1825683,2,2018,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","Action, Adventure, Sci-Fi","Ryan Coogler, Joe Robert Cole, Stan Lee (based on the Marvel Comics by), Jack Kirby (based on the Marvel Comics by)"
12,Passengers (2016),Sony,"$14,869,736",12/21/2016,Joss Whedon,,tt2395427,5,2015,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Sci-Fi","Joss Whedon, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (character created by: Captain America), Jack Kirby (character created by: Captain America), Jim Starlin (character created by: Thanos)"
13,Inferno,Sony,"$14,860,425",10/28/2016,Brad Bird,,tt3606756,6,2018,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner","Animation, Action, Adventure",Brad Bird
14,Seven Pounds,Sony,"$14,851,136",12/19/2008,"Anthony Russo, Joe Russo",,tt3498820,5,2016,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","Action, Adventure, Sci-Fi","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)"
15,Pitch Perfect,Uni.,"$14,846,830",10/5/2012,,,,3,2017,,,
16,American Assassin,LGF,"$14,846,778",9/15/2017,Shane Black,,tt1300854,5,2013,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce","Action, Adventure, Sci-Fi","Drew Pearce (screenplay by), Shane Black (screenplay by), Stan Lee (based on the Marvel comic book by), Don Heck (based on the Marvel comic book by), Larry Lieber (based on the Marvel comic book by), Jack Kirby (based on the Marvel comic book by), Warren Ellis (based on the ""Extremis"" mini-series written by), Adi Granov (based on the ""Extremis"" mini-series illustrated by)"
17,A Time to Kill,WB,"$14,823,159",7/24/1996,David Yates,,tt1201607,7,2011,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe","Adventure, Drama, Fantasy","Steve Kloves (screenplay), J.K. Rowling (novel)"
18,Miracles from Heaven,TriS,"$14,812,393",3/16/2016,Zack Snyder,,tt2975590,3,2016,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg","Action, Adventure, Fantasy","Chris Terrio, David S. Goyer, Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), William Moulton Marston (character created by: Wonder Woman)"
19,Source Code,Sum.,"$14,812,094",4/1/2011,Christopher Nolan,,tt1345836,7,2012,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","Action, Thriller","Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)"
21,Australia,Fox,"$14,800,723",11/26/2008,Francis Lawrence,,tt1951264,11,2013,"Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair","Action, Adventure, Mystery","Simon Beaufoy (screenplay), Michael Arndt (screenplay), Suzanne Collins (novel)"
