,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,Actor,Genre,Writer,Ratings
59,Gridiron Gang,Sony,"$14,414,630",9/15/2006,Phil Joanou,,tt0421206,6,2014,"Dwayne Johnson, Xzibit, L. Scott Caldwell, Leon Rippy","Crime, Drama, Sport","Jeff Maguire, Jac Flanders (film ""Gridiron Gang"")",0.43
60,Percy Jackson: Sea of Monsters,Fox,"$14,401,054",8/7/2013,Thor Freudenthal,,tt1854564,4,2017,"Logan Lerman, Alexandra Daddario, Douglas Smith, Leven Rambin","Adventure, Family, Fantasy","Marc Guggenheim (screenplay by), Rick Riordan (based upon the novel ""Percy Jackson and the Olympians: The Sea of Monsters"" written by)",0.43
62,National Security,Sony,"$14,369,694",1/17/2003,Dennis Dugan,,tt0271668,6,2011,"Martin Lawrence, Steve Zahn, Colm Feore, Bill Duke","Action, Comedy, Crime","Jay Scherick, David Ronn",0.11
63,The Sentinel,Fox,"$14,367,854",4/21/2006,Clark Johnson,,tt0443632,5,2013,"Michael Douglas, Kiefer Sutherland, Eva Longoria, Martin Donovan","Action, Crime, Thriller","George Nolfi (screenplay), Gerald Petievich (novel)",0.33
64,Star Trek II: The Wrath of Khan,Par.,"$14,347,221",6/4/1982,Nicholas Meyer,,tt0084726,4,2014,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan","Action, Adventure, Sci-Fi","Gene Roddenberry (television series Star Trek), Harve Bennett (story), Jack B. Sowards (story), Jack B. Sowards (screenplay)",0.88
65,The Game,Poly,"$14,337,029",9/12/1997,David Fincher,,tt0119174,8,2014,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn","Drama, Mystery, Thriller","John Brancato, Michael Ferris",0.73
66,Snow Day,Par.,"$14,331,819",2/11/2000,Chris Koch,,tt0184907,11,2017,"Chris Elliott, Mark Webber, Jean Smart, Schuyler Fisk","Adventure, Comedy, Family","Will McRobb, Chris Viscardi",0.28
68,The Specialist,WB,"$14,317,765",10/7/1994,Luis Llosa,,tt0111255,5,2014,"Sylvester Stallone, Sharon Stone, James Woods, Rod Steiger","Action, Crime, Drama","John Shirley (Specialist novels), Alexandra Seros",0.07
70,In Good Company,Uni.,"$14,289,750",1/14/2005,Paul Weitz,,tt0385267,5,2014,"Dennis Quaid, Topher Grace, Scarlett Johansson, Marg Helgenberger","Comedy, Drama, Romance",Paul Weitz,0.83
71,Alvin and the Chipmunks: The Road Chip,Fox,"$14,287,159",12/18/2015,Walt Becker,,tt2974918,5,2014,"Jason Lee, Justin Long, Matthew Gray Gubler, Jesse McCartney","Animation, Adventure, Comedy","Ross Bagdasarian (characters), Janice Karman (characters), Randi Mayem Singer, Adam Sztykiel",0.15
72,Blended,WB,"$14,284,031",5/23/2014,Frank Coraci,,tt1086772,6,2015,"Adam Sandler, Drew Barrymore, Kevin Nealon, Terry Crews","Comedy, Romance","Ivan Menchell, Clare Sera",0.14
